--------------------
BDMEP - INMET
--------------------
Estação           : FORTALEZA - CE (OMM: 82397)
Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Altitude  (metros): 26.45
Estação Operante
Inicio de operação: 27/10/1919
Periodo solicitado dos dados: 01/01/1986 a 31/12/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;VelocidadeVento
82397;17/06/1994;0000;0;
82397;17/06/1994;1200;3;
82397;17/06/1994;1800;2.1;
82397;18/06/1994;0000;1.5;
82397;18/06/1994;1200;4.5;
82397;18/06/1994;1800;2;
82397;19/06/1994;0000;0;
82397;19/06/1994;1200;1.6;
82397;19/06/1994;1800;3.6;
82397;20/06/1994;0000;0;
82397;20/06/1994;1200;2.5;
82397;20/06/1994;1800;2.6;
82397;21/06/1994;0000;0.5;
82397;21/06/1994;1200;3.3;
82397;21/06/1994;1800;1.5;
82397;22/06/1994;0000;1.6;
82397;22/06/1994;1200;1.8;
82397;22/06/1994;1800;2.1;
82397;23/06/1994;0000;0;
82397;23/06/1994;1200;2.6;
82397;23/06/1994;1800;1.6;
82397;24/06/1994;0000;1.1;
82397;24/06/1994;1200;3.5;
82397;24/06/1994;1800;2;
82397;25/06/1994;0000;0;
82397;25/06/1994;1200;1.6;
82397;25/06/1994;1800;3.1;
82397;26/06/1994;0000;0;
82397;26/06/1994;1200;1.3;
82397;26/06/1994;1800;2.8;
82397;27/06/1994;0000;0;
82397;27/06/1994;1200;1.8;
82397;27/06/1994;1800;3.3;
82397;28/06/1994;0000;0.7;
82397;28/06/1994;1200;1.1;
